pattern	template
I need a Accounts Payable role to Create Voucher	If you know Role name then, please create an Access Request using below link |https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx  .Else create support a ticket
Where I can create Voucher in PeopleSoft	Login to PeopleSoft and navigate below |Main Menu > Accounts Payable > Vouchers > Add/Update > Regular Entry
Where I can create Expense Report in PeopleSoft	Login to PeopleSoft and navigate below |Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > Create
I want to create a ticket for PeopleSoft Support team	Please send mail to |1. For AMEA Functional Questions: amea.peoplesoftsupport@laureate.net |2. For Global Technical Questions: l3peoplesoft@laureate.net |Else you can send a mail to frontline.team@laureate.net
My Pay cycle is stuck in between I am unable to proceed	Please reset the pay cycle. If you are unable to reset, please send mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net
I want to know the status of my ticket raised with Support team	Please send mail to frontline.team@laureate.net
Where I can check the status of Vendor	Please navigate to below |Main Menu > Vendors > Vendor Information > Add/Update > Vendor > Vendor Information
I want to reset PeopleSoft password	Click Forgot Password. |If system allows you to reset, then proceed. |Else please send mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net with details. | Note: In future, please set the security questions first to retrieve the password. |Navigation: Main Menu > My System Profile | 1. Click Change or set up forgotten password help |2. Select the question and response and then Save it.
I am a new Employee I want to create Expense Reimbursement in Peoplesoft How do I do that	Login to PeopleSoft and navigate below |Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > Create
What is frequency of LIAP02 or Voucher Build process	LIAP02 or Voucher Build process runs in every 2Hrs EST.
Forgot Password link is not working	Please send mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net with details. | Note: In future, please set the security questions first to retrieve the password. |Navigation: Main Menu > My System Profile | 1. Click Change or set up forgotten password help|2. Select the question and response and then Save it.
Prerequisites of AM Reporting	Load Depreciation Reporting table |Navigation: Main Menu > Asset Management > Financial Reports > Load Reporting Tables > Depr Reporting Table
Which date is used during Depreciation related calculations	Transaction Date
Can I retire an asset by Quantity	Yes. You can retire an asset by both Quantity or Cost.
Can I reinstate an asset after retirement	Yes
How to reinstate an asset after retirement	Navigation: Main Menu > Asset Management > Asset Transactions > Asset Disposal > Retire/Reinstate Asset |1. Click Reinstate button, select Accounting Date and Save it.
Can I recategorize an asset	Yes
How to recategorize an asset	Navigation: Main Menu > Asset Management > Asset Transactions > Financial Transaction > Cost Adjust/Transfer Asset|1. Select Transaction and Accounting Date and Action i.e. Recategorize. |2. On the next page, select new category and Save.
Can I adjust the cost of an asset	Yes
